gene,label
ADRA2C,negative
NMT2,negative
ICE2,negative
BBS9,negative
GPR161,negative
PTPRN2,negative
MISP,negative
CRIPAK,negative
HM13,negative
PRXL2C,negative
CUTC,negative
LDLRAD3,negative
SQLE,negative
ZNF628,negative
OSM,negative
CDC42SE2,negative
FAIM2,negative
RASSF7,negative
PEX13,negative
ERF,negative
COL4A1,negative
KRT27,negative
RLN3,negative
ALAS2,negative
TATDN1,negative
NQO2,negative
FSHR,negative
CENPK,negative
DHRS7,negative
SLC5A1,negative
SERPINB4,negative
HEATR4,negative
TBC1D2,negative
PTGR1,negative
COL9A2,negative
FBXW12,negative
SORBS3,negative
ATP9A,negative
DNAJC21,negative
CYP2E1,negative
GPT,negative
IRS2,negative
SENP2,negative
STAP2,negative
ATP1A1,negative
NAPEPLD,negative
EDEM3,negative
PCP4,negative
MYL5,negative
PLEKHF2,negative
ZNF445,negative
SCNN1B,negative
CALCOCO1,negative
CDH13,negative
TCTN3,negative
KLHL11,negative
CBLB,negative
TMEM255B,negative
UNC119,negative
SST,negative
PCBD1,negative
PEX11A,negative
FCN2,negative
MPC2,negative
ZNF606,negative
FBXO30,negative
RHD,negative
GPRC5B,negative
TLK2,negative
PARP4,negative
ZBTB1,negative
CCDC148,negative
TMEM98,negative
RNF212,negative
ZBTB6,negative
PRB2,negative
USP20,negative
FBLN2,negative
CA11,negative
CNOT6,negative
RBM34,negative
HMGB1,negative
SNN,negative
EXOSC6,negative
ECHDC2,negative
ERICH1,negative
BSND,negative
UTP25,negative
P2RY11,negative
OR10G3,negative
GPR137C,negative
TMPO,negative
MOB1B,negative
RAB12,negative
DHODH,negative
PLBD2,negative
RAB5A,negative
SPHK2,negative
AP1M2,negative
C12orf50,negative
CPT2,negative
JKAMP,negative
ARHGEF16,negative
SSMEM1,negative
PAOX,negative
NME1,negative
SIX5,negative
CPXM1,negative
WDR61,negative
EIF2S1,negative
POU2F3,negative
ZNF177,negative
ITGB4,negative
CRYBB2,negative
MPHOSPH10,negative
ARRB2,negative
PRPF8,negative
PDZD3,negative
CD2AP,negative
TCEA1,negative
MTHFSD,negative
UBL4B,negative
TP53INP2,negative
ASB1,negative
PRPF39,negative
ANGPTL4,negative
GYPB,negative
TAS1R1,negative
MRPL17,negative
TRIB3,negative
ZNF300,negative
UBE2Q2,negative
TRIM69,negative
KRT84,negative
CNNM2,negative
ESRRG,negative
TFAP2C,negative
TYSND1,negative
BPHL,negative
POP1,negative
GUK1,negative
UCP3,negative
DTX4,negative
FDX1,negative
TNKS1BP1,negative
KRT77,negative
FAM151B,negative
PHLPP1,negative
PLK2,negative
CCND2,negative
NWD2,negative
ITIH2,negative
GTF2IRD1,negative
PRKAR1A,negative
EPS15L1,negative
RPL19,negative
AGPAT2,negative
ATP9B,negative
ZNF444,negative
FAM133B,negative
NDUFA4,negative
CTU1,negative
KCNG2,negative
WASL,negative
ANAPC16,negative
PRDM13,negative
KLF16,negative
RASA2,negative
GTPBP10,negative
TYMP,negative
CRB1,negative
DUSP28,negative
PHF13,negative
AGO4,negative
IL17F,negative
KATNBL1,negative
GTF2A1,negative
JMJD1C,negative
NUMA1,negative
FAM81A,negative
AVPR1B,negative
EGLN3,negative
CHST12,negative
CHST15,negative
HAPLN1,negative
FNTA,negative
NEGR1,negative
C12orf57,negative
ZBTB26,negative
EXOC7,negative
KNSTRN,negative
SPHKAP,negative
EPHA6,negative
CABYR,negative
HOXB7,negative
TULP1,negative
ZNF440,negative
TRAF7,negative
TTC4,negative
SLC10A1,negative
PDCD6IP,negative
COL28A1,negative
APIP,negative
SLC11A2,negative
CHTF8,negative
LUC7L3,negative
COL8A2,negative
UNC45A,negative
DYNC1LI1,negative
LCOR,negative
PRRX1,negative
MAN1A2,negative
FDXACB1,negative
ADCY8,negative
CCDC27,negative
TRAPPC12,negative
GSKIP,negative
TMEM80,negative
GFRA2,negative
NOS2,negative
SPECC1L,negative
PPM1E,negative
WNK1,negative
PARD3B,negative
COL22A1,negative
NFATC3,negative
EDN3,negative
SCG3,negative
COL12A1,negative
VSIG8,negative
IGLL1,negative
NGLY1,negative
ZSCAN21,negative
DYRK1A,negative
OLIG2,negative
CD69,negative
CYP4X1,negative
TM7SF3,negative
NBPF11,negative
KRTAP10-5,negative
MYOZ2,negative
SAFB2,negative
UBE2D4,negative
ID2,negative
FAM219A,negative
RAB27A,negative
RPL8,negative
SPRR2G,negative
HES5,negative
CYLC2,negative
SIGLEC6,negative
WDR62,negative
FPR1,negative
OAS2,negative
CDC42EP5,negative
HES6,negative
GSTP1,negative
RNF219,negative
PIP5K1C,negative
CLEC4D,negative
MIS12,negative
C11orf49,negative
SDSL,negative
NR4A1,negative
HK3,negative
PUS1,negative
FAM189A2,negative
B4GALNT4,negative
SLC17A6,negative
ZNF639,negative
KRTAP1-5,negative
RHOV,negative
MYEF2,negative
MGAT1,negative
DNAH9,negative
TC2N,negative
ZC3H18,negative
C10orf62,negative
AP1G1,negative
RRAS,negative
C18orf32,negative
EHMT2,negative
FSCN2,negative
STEAP4,negative
GUSB,negative
TAF15,negative
HNRNPA1L2,negative
PIK3CG,negative
TMEM86A,negative
GJB6,negative
RIN3,negative
DHRS2,negative
GLB1L,negative
ASF1A,negative
LRFN3,negative
UHRF2,negative
ZNF215,negative
CDC14B,negative
FGF2,negative
SH2B1,negative
OR5B2,negative
PGM2L1,negative
ACRBP,negative
PTPN11,negative
RDM1,negative
PHKG1,negative
LCMT1,negative
SLC1A2,negative
NAXD,negative
MPHOSPH9,negative
SEMA6D,negative
MUCL1,negative
CDH26,negative
ITPKA,negative
CCDC110,negative
SPINK6,negative
BAK1,negative
HBA1,negative
